,review_text,app_name,major_class,small_class,word_1,small_class_2,word_2,small_class_3,
210,"I love the redesign, and now instead of lying about ""limited time"" ""sales"" the app offers full functionality without hiding behind a somewhat extortionate IAP. This review was one star in protest of their shocking false advertising. Now I'm bumping it up to four, but if this app stays on this track over time, this rating will move up to reflect my growing trust. Edit: Not a fan of Shots. Everyone is trying to be Snapchat now :( I am just here for tabs, but Shots is at the top of the page.",Ultimate Guitar: Chords & Tabs,Information Giving,Feature or Functionality,"functionality,redesign",,,,
211,the app is almost perfect. only complaint is that I can't upload any shots. I end up waiting for like an hour and then the app crashes. I'm on galaxy s8 so this shouldn't be happening and my wifi is definitely good enough.,Ultimate Guitar: Chords & Tabs,Problem Discovery,Feature or Functionality,upload shots,Model,galaxy,,
212,"Ultimate Guitar has tons of guitar tabs, chords, bass tabs, piano tabs, ukelele tabs and chords, anything you could ever want in a tab app. Definitely the best tab app on google play, maybe anywhere. Get this now!!!",Ultimate Guitar: Chords & Tabs,Information Giving,Contents,guitar,,,,
213,"Basically it doesnt tell you this isn't the full version, so everytime you open up the app it's bugging to to upgrade to it. Now apparently you have to pay more to simplify the chords - THIS APP DRAINS YOU OF MONEY, DONT BUY IT",Ultimate Guitar: Chords & Tabs,Information Giving,Pricing,pay|buy,,,,
214,"Extremely nice app, love it",Ultimate Guitar: Chords & Tabs,Other,App,app,,,,
215,really good app for guitarist,Ultimate Guitar: Chords & Tabs,Other,App,app,,,,
216,"I spend more time closing ads in the free version than using the app. if the free version is supposed to entice me to pay, It didn't work.",Ultimate Guitar: Chords & Tabs,Information Giving,Pricing,free,,,,
217,super simple and enjoyable!,Ultimate Guitar: Chords & Tabs,Other,App,,,,,
218,Great !!! This app has helped me so much could play a power chord in the beginning now I'm able to play anything that I like.+AWESOME!!! app+FULL STOP!!,Ultimate Guitar: Chords & Tabs,Information Giving,Contents,chord,,,,
219,I've used this app for a long time now and it has only gotten more useful the longer I have had it. Thanks!,Ultimate Guitar: Chords & Tabs,Other,App,app,,,,
220,"It has what you need and even more, including tabs, new chords, and song you probobly didnt know they had. If you like playing guitar and you're new this is a great app.",Ultimate Guitar: Chords & Tabs,Information Giving,"Contents/Feature or
Functionality",play chords|song,,,,
221,"buggy, sometimes can't save favourite. crashes a couple of times each day during play. when it works it's awesome.",Ultimate Guitar: Chords & Tabs,Problem Discovery,Feature or Functionality," save favourite,crashes",,,,
222,Pretty great practice and learning tool well worth paying for Thanks guys will continue to use this.!,Ultimate Guitar: Chords & Tabs,Information Giving,Pricing,pay for,,,,
223,Very nice and user friendly,Ultimate Guitar: Chords & Tabs,Other,App,,,,,
224,A great help in learning new songs.,Ultimate Guitar: Chords & Tabs,Information Giving,App,,Contents,learn songs,,
225,F¨¢cil de usar. Puedo seleccionar mi lista de preferencia. :D Great enhancements. Fully satisfied. La meilleure app du monde.,Ultimate Guitar: Chords & Tabs,,,,,,,
226,"its awesome but they've made it super slow for people who aren't buying the pro subscription, or whatever it is. :(",Ultimate Guitar: Chords & Tabs,Information Giving,Pricing,buying,App,slow,,
227,"Huge range on artists and songs. Just keep in mind, it's whatever someone heard of a song. Not everything is correct, but its better this way. It challenges you, great app.",Ultimate Guitar: Chords & Tabs,Information Giving,Contents,artists|songs,,,,
228,Fantastic app. I use it loads !!,Ultimate Guitar: Chords & Tabs,Other,App,"app,fantastic",,,,
229,I have found this very helpful to learning my favorite songs on the guitar.,Ultimate Guitar: Chords & Tabs,Information Giving,Contents,guitar,Feature or Functionality,learn songs,,
230,"Easier to use and faster with every update. But it still constantly asks us to upgrade to pro, and recently the transpose and autoscroll features, which have been free since the beginning, are pro-only features :(",Ultimate Guitar: Chords & Tabs,Information Giving,Feature or Functionality,transpose|autoscroll ,Updates/ Versions,update,,
231,best guitar chord library in the world,Ultimate Guitar: Chords & Tabs,Information Giving,Contents,guitar chord ,,,,
232,I like this app you can learn the chord from this app,Ultimate Guitar: Chords & Tabs,Information Giving,Contents,chord,Feature or Functionality,clear chords,,
233,nice apps for the beginners in guitar especially.,Ultimate Guitar: Chords & Tabs,Information Giving,Contents,guitar,,,,
234,love ultimate guitar but never had to pay for auto scroll before what's happened I've been using this for years,Ultimate Guitar: Chords & Tabs,Information Giving,Pricing,pay for ,,,,
235,"I love it! It's very useful for beginners and experts as well. But I can't change from guitar to ukulele, I mean I cant find the chords and the tuner for ukulele. Please help!",Ultimate Guitar: Chords & Tabs,Information Seeking,Feature or Functionality,change guitar,,,,
236,"Very useful for practice when I'm not near my PC, however the desktop website has far fewer limitations like it's ability to transpose and autoscroll, which are unavailable in the app (unless you're willing to pay).",Ultimate Guitar: Chords & Tabs,Information Giving,Feature or Functionality,transpose|autoscroll,Pricing,pay,,
237,"I use this app often for learning songs easily and the community is great. I love the range of difficulty, and also level of expertise needed to learn songs.",Ultimate Guitar: Chords & Tabs,Information Giving,Contents,learn song,,,,
238,"Is it MUST to force me to pay? If it still, anyway 1 star is too much isn't it? I can't enjoy my Ultimate guitar anymore for now, there will be always appear a video and adjust me to pay before open the tabs. Are u kidding? Then if it must to pay, take it to Payment Application category.",Ultimate Guitar: Chords & Tabs,Information Seeking,Pricing,pay,,,,
239,There is much more of this application I need to explore.,Ultimate Guitar: Chords & Tabs,Other,App,application,,,,
240,"Help me play the guitar while.im reading the chords at the same time,thanks for the apps",Ultimate Guitar: Chords & Tabs,Information Giving,Contents,play guitar,,,,
241,"As promised, I changed my vote. I also subscribed. I have grown to like the app very much. Very useful. I have new issues now, however they are less extreme but only small annoyances. Most notably the proverbial pain it is to manipulate the loop setting during a song. Very precise touch required to activate the slider. Something easily fixed with an update. Thank you for the reply, by the way, it shows a respect for your customers. Even the annoying ones.",Ultimate Guitar: Chords & Tabs,Information Giving,Feature or Functionality,"manipulate,loop setting",Updates/ Versions,update,,
242,update broke the app for me. wouldn't even install the update properly and the old version quit working. uninstalled,Ultimate Guitar: Chords & Tabs,Problem Discovery,Updates/ Versions,"update,broke",,,,
243,"I love this app and have been using it for 10 years ! The new shots feature is really cool but there are a couple of bugs. 1. Flipping the camera while recording crashes the program 2. I get errors when uploading that say try again, sometimes it goes through, and other times it immediately says error again. Recommendations: 1. Make a 5th button on the bottom that takes me directly to my own shots. 2. Shots should be organized using the same system as the tabs. 3. What are the errors?",Ultimate Guitar: Chords & Tabs,Problem Discovery,Feature or Functionality,"Flipping|uploading,bug",GUI,button,,
244,"The only guitar app you need. Tabs, tuner, chord library, metronome... It's got the best song library with multiple tabs for each song so beginners can find simplified versions and experts can find the most intricate version.",Ultimate Guitar: Chords & Tabs,Information Giving,Contents,"song,guitar",,,,
245,this app is lit????,Ultimate Guitar: Chords & Tabs,Other,App,app,,,,
246,"Full of spam and publicity. It's not enough to purchase the app, they are constantly pushing their subscription fees each time you use it. Lame.",Ultimate Guitar: Chords & Tabs,Information Giving,Pricing,purchase,Contents,"spam,publicity",,
247,very quick and songs are quite accurate.,Ultimate Guitar: Chords & Tabs,Information Giving,App,quick,Contents,songs,,
248,I finallt bought the pro version ad this app ROCKS! I use it every day and find it really easy to use!,Ultimate Guitar: Chords & Tabs,Information Giving,Pricing,bought,Contents,ad,,
249,Simply superb. No other guitar app comes close to this,Ultimate Guitar: Chords & Tabs,Information Giving,App,app,,,,
250,"love the music database, but I paid for a premium account and it glitches constantly, redirecting me to the google play page over and over...",Ultimate Guitar: Chords & Tabs,Problem Discovery,Feature or Functionality,redirecting,Pricing,pay for,,
251,Thanks for a great app & for adding the 'Shots' feature. Has more room for development. Always expecting more from the developers of this app. (It's always a 5 stars for your apps...),Ultimate Guitar: Chords & Tabs,Information Giving,Feature or Functionality,adding Shots,Company,developers,,
252,"this helped me so much, the app allowed me to find my favorite songs and actually learn them.The experience as well is just great",Ultimate Guitar: Chords & Tabs,Information Giving,Contents,songs,feature or Functionality,find songs,,
253,"It is a great app for guitar, uke, vocal, and bass",Ultimate Guitar: Chords & Tabs,Information Giving,Contents,guitar| uke| vocal|bass,,,,
254,"this is usually my go to tab software on the go, but the last update messed up the interface for me. the highlight function for looping is non functional",Ultimate Guitar: Chords & Tabs,Problem Discovery,GUI,interface,Updates/ Versions,update,,
255,i love it l.because we can find chord song and its teach us how to struming another else......?,Ultimate Guitar: Chords & Tabs,Information Giving,Contents, chord song,feature or Functionality,teach struming,,
256,Save favourites won't work anymore after update,Ultimate Guitar: Chords & Tabs,Problem Discovery,Updates/ Versions,update,feature or Functionality,save favourites,,
257,A must have for any aspiring musician. Their lessons give you the tools to break the learning curve and reach new heights whether you're a beginner or a veteran Guitarist.,Ultimate Guitar: Chords & Tabs,Information Giving,Contents,"lessons,tools",,,,
258,very versitale music styles of every song,Ultimate Guitar: Chords & Tabs,Information Giving,Contents,song,feature or Functionality,versitable music,,
259,"bad. it took a while to get to the tab due to adds, than it didn't have the tab. trash app unless you love adds. it's a app for adds not tabs.",Ultimate Guitar: Chords & Tabs,Information Giving/problem Discovery,Contents,adds,GUI,tab,,
