,review_text,app_name,major_class,small_class_1,key_word_1,small_class_2,key_word_2,,
139,"Just purchased this app.  I am a Navionics fan, but not for this app.   The write up implies it has more features for the price than it does. The app  itself does not state that they are free the first year. it wants you to subscribe for each. It seems everything is an add on. i do not plan to sign up for the options.  Read the print carefully.  Not worth the price for me.  Probably will never use it for navigation or planning a route.",Boating USA,Information Giving,Pricing,price,,,,
140,"This app is woefully inaccurate for the Fire Island inlet, east to west approach, from can 1 West Channel, EW bouy at East Channel/ West channel intersection westward to inlet. Listen up!!!!!!! The severe shoaling in northern section of bay approach to Robert Moses bridge and shoaling on south side of approach is not shown whatsoever. Imagine you are a new boater, stuck on a shoal and wind driven rollers are pounding your boat as they fill your deck with water--Mayday....Mayday.....Mayday-- A very likely scenario. I have been in calm, glass like water by Kismet and one mile west it is mayhem. Do yourself a favor and Dont waste your money or be conned by the company response I am sure will follow.",Boating USA,Information Giving,Feature or Funtionality,inaccurate,,,,
141,For me personally I think you should be a little more liberal with International border Lakes. When fishing Rainy Lake in Minnesota this summer there are some areas you are forced to go through in the Narrows between the east and west side of the lake and also navigating to Kettle Falls etc... using U.S. buoys that are not covered with your Maps because I believe you interpret them as being Canadian Waters. This is dangerous considering the depths and hazards and a huge pain. Had I known this ahead of time I would have gotten the North American package for 5 more dollars which I tried to upgrade to buy paying an additional 5 but was told no. Thanks Nate. Otherwise I like it. Very accurate the two years I've been using it.,Boating USA,Information Giving,Feature or Funtionality,Maps,,,,
142,Love this app. I had been using it on my android phone then decided to purchase a tablet for better visibility. So glad I did. I have been using it for distance races and transports onboard my sailboat instead of a chart plotter.  It would be nice though if I could program marks from my desktop while I am planning a trip or a race in a new venue. Well worth the subscription!,Boating USA,Other,App ,app,,,,
143,This app was amazing. Helped us find the sweet spots and stay on the fish! Works without signal too,Boating USA,Other,App ,app,,,,
144,My go to app for tide and current on cape cod,Boating USA,Other,App ,app,,,,
145,Having a problem with the App..its not showing my pinned waypoints on the chart,Boating USA,Problem Discovery,Feature or Funtionality,pinned waypoints,,,,
146,"If you are looking for an app to show you the lakes and depth this is the 
one for you. Love and use it each fishing trip.",Boating USA,Information Giving,Contents ,lakes and depth,,,,
147,Best app on my phone,Boating USA,Other,App ,app,,,,
148,"Since last update app keeps saying that I'm in offline modr and that there 
is no internet connection when I'm obviously connected to WiFi. Can't find 
anyway to change it.",Boating USA,Problem Discovery,Feature or Funtionality,offline,Updates/Versions,update,,
149,Working great again as of 8/9/18,Boating USA,Information Giving,App ,Working,,,,
150,"Nice to know, AFTER paying that this app is subscription based, where as it 
used to be a one time thing, how wonderful. I shouldn't of wasted my money.",Boating USA,Information Giving,Updates/Versions,used to,Pricing,paying,,
151,"It was a good app, but the latest update won't allow me to get past the 
terms and agreements.",Boating USA,Information Giving,Updates/Versions,update,App ,app,,
152,"I've been using this app for a while now. All of a sudden when I launch it 
I cannot get past the Terms of Use acceptance page (Loading... Accept 
...Continue... repeat). Therefore it's totally unusable. Please fix ASAP 
and I'll update to 5 stars, as otherwise it's a great app",Boating USA,Problem Discovery,Improvement,fix,App ,app,,
153,"Can't get past terms and agreement ??? First time this is happening to me 
and I've been using this app for years... wth is going on??",Boating USA,Problem Discovery,Feature or Funtionality,get past terms,,,,
154,"This is a good app with some serious safety flaws. When using the 
sonarchart live function, it will ask for tide station confirmation 
enroute, but when it does this is completely changes your zoom and 
orientation. If you are not constantly watching it, your map zoom and 
orientation can change unexpectedly and when you need it, it's all out of 
whack. I use course up at a 500ft zoom, but it reverts to north up on a 
several mile zoom. Pop up a notification but don't mess with what I have 
setup as ideal for my situation. I want to set my parameters at the dock 
and have them stay put.",Boating USA,Problem Discovery,Feature or Funtionality,flaws,,,,
155,"I have had at least one version since it has come out. Very pleased and 
have probably sold about 50 boaters on buying....well worth it and seams to 
be more accurate than my mounted Garmin. A must have!",Boating USA,Information Giving,Contents ,version,,,,
156,Works great! Easy to use and I love the routing feature.,Boating USA,Information Giving,App ,use,Feature or Funtionality,feature,,
157,There is no reason that Garmin / Navionics should require a user to allow access to making phone calls. I would have never purchased this if I had known that It would REQUIRE access to making phone calls. I agree with others that is BS!,Boating USA,Information Giving,Contents ,Garmin / Navionics,,,,
158,"One constant issue with the app that they refuse to fix. Sailors almost 
unanimously prefer to have their charts and all other instruments all 
displayed with magnetic bearing and course information to avoid any 
problems doing the math on the fly when referring to the actual compass. 
Until Navionics stops acting like they know better than the people using 
the app, I can't give it anything more than a 2.... Add magnetic bearing 
option like every other chart plotter software in existence and I'll be 
happy. REPLY TO NAVIONICS RESPONSE: Yes of course magnetic deviation 
changes over time, yet when they can still print it on paper charts and 
know how accurate it is, your excuse carries no weight, especially when all 
other chart water software in the Marine industry has the ability to 
compensate for magnetic drift",Boating USA,Information Giving,Feature or Funtionality,information,,,,
159,"This app has FAILED every time I tried to use it. It left me stranded twice 
while on the water, showing my position as 50 miles inland..... THIS APP 
SUCKS",Boating USA,Problem Discovery,App ,APP,,,,
160,"Works great. Downloaded on tablet and have 10"" screen. Works just as good 
as high dollar gps.",Boating USA,Information Giving,GUI,10"" screen,,,,
161,"App is pretty great for figuring out where to go. But the main reason I got 
it was the navigation feature. I do a lot of boating in shallow waters and 
this app was intended to get me around problem areas. Well, the navigation 
gets really jittery unless you have the map in true north-south. I prefer 
the map setting where the arrow is constantly aiming in the direction you 
are heading and map rotates around you. This feature is unfortunately 
fairly consistent in turning all over the place making navigation a pain.",Boating USA,Information Giving,Feature or Funtionality,navigation,,,,
162,"I have used this app since 2011. Now they want more money. It's not going to happen. Lots of other great FREE apps, I don't need to pay for this one over and over.  I called in (when you still displayed a phone #) and was told that I would be grandfathered in, now they are going back on their word. Very dishonorable.  I will miss this app, but I don't do business with liars and cheats.",Boating USA,Information Giving,Pricing,pay,,,,
163,"How about some Android Wear support? I'd love to be able to check my watch 
for heading, speed, etc.",Boating USA,Information Seeking,Model , Android Wear ,,,,
164,This app does not help...,Boating USA,Other,App ,app,,,,
165,Handiest fishing tool of all.,Boating USA,Other,App ,tool,,,,
166,"Great reports, depth findings, and fishing species hot spots!",Boating USA,Information Giving,Contents , report,,,,
167,"When I paid for this app a few years ago, it did what I wanted it to do, 
with no annual renewal fees. Now I'm told I need to renew to get what I 
used to have. I don't buy the BS about ""operating systems change and now 
layer functionality is new""....Navionics has the power and ability to give 
me the exact same functionality that I originally had, and honor the 
original terms. They are just trying to squeeze more money out of me. To 
see satellite view, I can pull up Google Earth for free...used to be a 
feature, but now they have made that an inconvenience.",Boating USA,Information Giving,Contents ,renewal fees,,,,
168,App does not work with andrid P,Boating USA,Problem Discovery,Model ,andrid P ,,,,
169,"When I purchased this app several years ago, it was supposed to include lifetime access to the maps, but now they decided to downgrade me to a 1 yr subscription.",Boating USA,Information Giving,Contents ,subscription,,,,
170,It's a game changer when fishing.,Boating USA,Other,App ,it,,,,
171,"New policy is BS. Will not turn over everything to apps. I paid for this 
subscription. Next smart phone needs FU button. Your reply is corporate BS. 
I don't need to make calls through your app and should not default giving 
you all access. No thanks.",Boating USA,Information Giving,Contents ,subscription,,,,
172,Stopped working on galaxy s8 after latest update. Great when it worked.,Boating USA,Problem Discovery,Updates/Versions,update,Model ,galaxy s8,,
173,Doesnt load after recent update. Great app when it works.,Boating USA,Problem Discovery,Updates/Versions,update,App ,app,,
174,New version will not load on my Galaxy S8,Boating USA,Problem Discovery,Updates/Versions,update,Model ,galaxy s8,,
175,"This app is amazing. It is all you need to safely navigate, plus having 
tide tables and auto routing!! Couldn't be happier. Thank you Navionics for 
getting rid of all the SPAM adds that everyone was experiencing a year ago. 
Customer Service is also on point, great job guys. Any chance for an anchor 
alarm?",Boating USA,Information Giving,Feature or Funtionality, tide tables and auto routing,App ,app,,
176,"Good app. But since last update, channel information have disappeared... 
bug fix",Boating USA,Problem Discovery,Updates/Versions,update,App ,app,,
177,"I used to love it but now when I do tracks they are straight direct lines 
from point a to b. Any idea of a fixed for that?",Boating USA,Information Giving,Improvement,tracks ,,,,
178,"Downloaded this map due to fishing tournaments to study before hand. Maps 
will not load correctly, nor is this system responsive enough. Could do 
more with the booklet I have then with this app.",Boating USA,Problem Discovery,Improvement, load,,,,
179,"Lifetime does not mean lifetime. I bought Navionics many years ago WITH 
CHARTS. Now my lifetime charts need to be repurchased. Screw you Boating.",Boating USA,Information Giving,Pricing,repurchased,,,,
180,"From 1/2 mile zoom to 200 ft, satellite imagry is missing.  Zoom out over 1/2 miles it reappears, zoom in under 200ft and it's there.  specifically in Boca Key, Florida, USA, and others.",Boating USA,Information Giving,Improvement,satellite imagry,,,,
181,I also have a Garnin Chart plotter. The maps  here are better for inland lakes than the Garnin Lakeview. Very impressive for a $10 app.  Also lots of cool features. I bought an 8" tablet just to run it.,Boating USA,Information Giving,App ,app,,,,
182,"I have some issues with uploads at times using this app offline, with a lot of inaccuracies with water depth. I would hope that this app was bought was going to be better than the trial, I was wrong. Ice fishing or on a boat this app isn't very helpful with the water depth. With the most disappointment of water depth to me. I also dont get a good loadup of offline use on navonics maps when I'm offline. I know navonics don't claim to be accurate spot on but it's not even worth the bang for the buck.",Boating USA,Problem Discovery,Feature or Funtionality,water depth,,,,
183,Best $10 I've spent on boating/fishing!,Boating USA,Other,App ,Best,,,,
184,"The app was great until the latest update. Actually the only one when you can do a search of a lake and get familiar with it before you actually fish it. Since the last update, about a month ago, whenever going to the search option and trying to search for an actual lake it crashes. Same phone for the past 2 years or so and worked great. Now whenever i try to look for a lake or anything else it just freezes once I tap on a search tab. And please dont tell me that its a memory issue because Ive used it for almost 2 years on the same exact device. And yes I did force stop on all other applications and then restarted the phone and the same exact issue crashes the software.",Boating USA,Problem Discovery,Updates/Versions,update,App ,app,,
185,I've had this app for two days. I have a note 8 with 256 GB SD card and plenty of storage. Its already crashing. Super irritated about it.,Boating USA,Problem Discovery,App ,app,Model ,note 8,,
186,Don't take my money and then show me ads.,Boating USA,Information Giving,Improvement,ads,,,,
187,The pay app for Apple has better structure information then the app for Android,Boating USA,Other,App ,app,,,,
188,Is there a way to get the HD version at discount? Or can I get a refund so I can just but the 49.99 hd? The 10.99 app is great..better than expected...but if there's more I want it. Just got the app today,Boating USA,Information Giving,App ,app,,,,
189,I found a great spot to fish with this app,Boating USA,Other,App ,app,,,,
190,"Straight out of the box, what you pay for is great. Worth every penny. It is amazing how much this app has helped me on the water. I can fish new water, know all the hazards, channels, depth, submerged cover...it's awesome. Buy it. You can map all day long with your sonar or you could use this app and break the lake down alot faster.",Boating USA,Information Giving,Contents ,helped,,,,
191,"Easy, slow at times but still great like using it wouldnt change it for a diff app",Boating USA,Other,App ,app,,,,
192,"Very buggy crashes all the time, dont waste your time or money, useless when you need it.",Boating USA,Problem Discovery,App ,crashes,,,,
193,"Got this app looking for depths and contours for ice fishing on the wisconsin river,nothing for depths came up! Waste of ten dollars...",Boating USA,Problem Discovery,Improvement,depths,,,,
194,The depths change. What the hecks going on. How does a lakes depth keep changing,Boating USA,Information Seeking,Feature or Funtionality,depths,,,,
195,This site is awesome. I like tracking the cruise ships around the world.,MarineTraffic ship positions,Information Giving,App ,site,Contents ,tracking,,
196,Had paid for full version of this app which worked fine. Now all paid app users are downgraded to info that is 24 hours old? And then being asked to pay each time you want up to date info- shameful behaviour from company. Uninstalling and recommend others avoid.,MarineTraffic ship positions,Information Giving,Contents ,paid,,,,
197,Nowhere near real time. Many instances a day behind. Real time features are paywalled for one vessel only and for 24hrs only.,MarineTraffic ship positions,Information Giving,Feature or Funtionality,features,,,,
198,pac athena info way out of date and useless.,MarineTraffic ship positions,Problem Discovery,Feature or Funtionality,way,,,,
199,its a must for me living and working near the great lakes. I can find out "Who's that" in a minute!,MarineTraffic ship positions,Other,App ,it,,,,
200,I am observing 3 known vessels and which was not updated even though vessels are moving hundreds of kilometers,MarineTraffic ship positions,Problem Discovery,Feature or Funtionality,vessels,,,,
201,This app used to be great and has been my go to for years but now it is useless. I'm not going to pay $1 everytime I need to see a ship. Very disappointed.,MarineTraffic ship positions,Information Giving,App ,app,Pricing,pay ,,
202,"Living near Lake Erie, I love being able to tell what freighters are out and where they are headed. I love this app!!",MarineTraffic ship positions,Information Giving,App ,app,Feature or Funtionality,freighters,,
203,"Really good app, have tried other apps but all are inferior",MarineTraffic ship positions,Other,App ,app,,,,
204,Fun to see ships at sea from land and find out where they're going and coming from,MarineTraffic ship positions,Information Giving,Contents ,see ships,,,,
205,"Used to be great, but now lots of information has to be paid for on a 24 hour basis. Getting to the point where the app will be totally useless.",MarineTraffic ship positions,Information Giving,Pricing,paid ,,,,
206,I paid $6 for this app and you need to pay an additional $1.39 to view the details of almost every ship I clicked on.,MarineTraffic ship positions,Information Giving,Pricing,paid,,,,
207,"Quietly and effectively, Marine Traffic just keeps delivering info that makes my life at sea that bit easier and more interesting. Pretty much the epitome of how an app should work",MarineTraffic ship positions,Other,App ,app,,,,
208,my place overlooks the mouth of the Bristol channel. this app is brilliant for identifying the shipping passing my window . very pleased with it.,MarineTraffic ship positions,Information Giving,Feature or Funtionality,identifying,,,,
209,It's a super app,MarineTraffic ship positions,Other,App ,app,,,,
210,probably the best ais app.,MarineTraffic ship positions,Other,App ,app,,,,
211,great for the beach....fun to identify mega yachts,MarineTraffic ship positions,Information Giving,Feature or Funtionality, identify,,,,
212,You need to pay now..... Having to pay to see the details of ships. When I originally purchased this app no additional payment was required!,MarineTraffic ship positions,Information Giving,Pricing,payment,,,,
213,Great help for ship chandlering ;),MarineTraffic ship positions,Information Giving,App ,help,,,,
214,Fairly good GPS positioning n updates,MarineTraffic ship positions,Information Giving,Feature or Funtionality,GPS positioning,,,,
215,Easy to use. WYSWYG,MarineTraffic ship positions,Other,App ,use,,,,
216,"This app is so good and easy to use ,thank you it is helpfull,",MarineTraffic ship positions,Other,App ,app,,,,
217,"Cracking app. I know where to find the vessel I'm joining and where past vessel are. Unfortunately, so does my wife.",MarineTraffic ship positions,Information Seeking,Feature or Funtionality, find vessel,,,,
218,Useful in my work at Port of MO in Rana with frequently vessel arrivals and departures.,MarineTraffic ship positions,Other,App ,useful,,,,
219,Great app and works so well,MarineTraffic ship positions,Other,App ,app,,,,
220,"Good , but to many ads.",MarineTraffic ship positions,Information Giving,Contents ,ads.,,,,
221,"Poor information, does not have fresh information.",MarineTraffic ship positions,Information Giving,Contents ,information,,,,
222,14.5 hours between updates is not acceptable coverage.,MarineTraffic ship positions,Information Giving,Updates/Versions,updates,,,,
223,Need an update if eta and voyages...these details not up to date,MarineTraffic ship positions,Feature Request,Improvement,eta and voyages,,,,
224,Very useful and nice Application.,MarineTraffic ship positions,Other,App ,Application,,,,
225,One of the best apps available. Helpful to a marine professional and enthusiast alike.,MarineTraffic ship positions,Information Giving,App ,apps,,,,
226,Good for an old sailor,MarineTraffic ship positions,Information Giving,App ,Good,,,,
227,Would prefer if app opened to your default 3G location.,MarineTraffic ship positions,Feature Request,Improvement,opened 3G location,,,,
228,Sometimes it is faster than the website,MarineTraffic ship positions,Information Giving,App ,it,,,,
229,Excellent App. Using the weather data from ships off shore very useful,MarineTraffic ship positions,Information Giving,App ,App,Feature or Funtionality,weather data,,
230,Living in Plymouth makes this app invaluable.,MarineTraffic ship positions,Other,App ,app,,,,
231,Boats not been moving for 2days,MarineTraffic ship positions,Other,Contents ,Boats,,,,
232,"So a couple of years ago I paid for the app, only to find that you have changed the rules and agreement. Once I could see the approximate position of a vessel and it's course. Now i can only see where it was a fee days ago. If i want the info I already have paid for I have to keep paying for it !!",MarineTraffic ship positions,Information Giving,Pricing,paid,,,,
233,very good app as it shows live positions and routes but it does have a few bugs,MarineTraffic ship positions,Information Giving,App ,app,,,,
234,I hate that I paid for this app. It is no better at accurately showing a boats position than free versions. In fact it's worse than most. I need to when a ship is close to my bridge. Sometimes it shows them hours away when they are just minutes away. Sometimes it doesn't show a boat until it is right on me. Other times it shows the boat as sitting at the bridge long after it left. Very disappointed. I would not recommend paying for this app. I wouldn't even want this one free.,MarineTraffic ship positions,Information Giving,Contents ,paid,,,,
235,It's great. I am very happy with it.,MarineTraffic ship positions,Other,App ,it,,,,
236,"Great app, no problems here.",MarineTraffic ship positions,Other,App ,app,,,,
237,It's good to put a name on and see the destination of shipping you see in the distance,MarineTraffic ship positions,Information Giving,Feature or Funtionality,see destination of shipping,,,,
238,Works great for me.,MarineTraffic ship positions,Other,App ,great,,,,
239,"Paid for the app early this year and had the full version and now you have to pay again to access features that used to be available with the original purchase of the app, not to mention when you pay to unlock these features they're only available for 24 hours then you have to pay again",MarineTraffic ship positions,Information Giving,Pricing,Paid,,,,
240,Would be better if it constantly updated vessel locations but there are too many ghost vessels that show previous locations and some don't even show up at all,MarineTraffic ship positions,Problem Discovery,Improvement,updated vessel locations,,,,
241,This has and continue to be a great app. Thanks,MarineTraffic ship positions,Other,App ,app,,,,
242,Previously purchased the paid app back in 2014 and now I have lost the functionality of looking at individual ships. Instead I have to pay for each vessel I want to look at and then it only lasts for 24 hours!! Time to uninstall,MarineTraffic ship positions,Information Giving,Pricing,paid,,,,
243,"Shows me company vessels in real time, using it on daily basis ???",MarineTraffic ship positions,Information Giving,Feature or Funtionality,vessels in real time,,,,
244,"Have resolved disappearing fleet problem. The only thing now is that Sapphire Princess, which I am tracking, is always heading north. As she is, at the moment going south, she appears to be going backwards!!! Otherwise this is a really good app so have given 5 stars anyway.",MarineTraffic ship positions,Problem Discovery,Improvement,only thing,,,,
245,"Every time I start the app I can see all the vessels, although in the settings I have selected only cargo vessels.",MarineTraffic ship positions,Problem Discovery,Feature or Funtionality,see vessels,,,,
246,"I updated to the last version and now I regret. Big mistake. Except some extra advertisement, no any improvement, while now must hit the refresh button to update. And I paid for this application! To developers, please tell me how can I reverse to previous version ?",MarineTraffic ship positions,Information Seeking,Updates/Versions,updated,Company ,developers,,
247,Great fun seeing what's at sea.,MarineTraffic ship positions,Other,App ,seeing,,,,
248,This is appreciated in our industry for tracking fishing vessel arrival times to coordinate offload and transport times,MarineTraffic ship positions,Information Giving,Feature or Funtionality,tracking fishing vessel,,,,
249,Very useful app that works!! Very happy to use it daily.,MarineTraffic ship positions,Other,App ,app,,,,
250,Cool to see where my work is come'n from and going to,MarineTraffic ship positions,Other,App ,app,,,,
251,Since the last update this app stopped working on my Nexus 6p. After the start-up it simply freezes on the popup that says "Can not connect to servers. Try again later". Worked before just fine.,MarineTraffic ship positions,Problem Discovery,Updates/Versions,update,Model ,Nexus 6p,,
252,Good potential but slow and clunky in parts. Also the subscription services are fragmented and confusing.,MarineTraffic ship positions,Information Giving,Resources ,slow and clunky in parts,Feature or Funtionality,subscription services,,
253,Used to be pretty good. One price bought you info on all ships. Now about half the ships require an additional charge for 24 hrs data. Not useful to me anymore.,MarineTraffic ship positions,Information Giving,Pricing,price,,,,
254,Great little ship spotting app.,MarineTraffic ship positions,Other,App ,app,,,,
255,I played for this app. It changed and now the developer wants more money.,MarineTraffic ship positions,Information Giving,Company ,developer,,,,
256,I live by the see it's fantastic to see & find out the ships close & far away,MarineTraffic ship positions,Other,App ,app,,,,
257,I find this app to be a useful tool for my job as a pilot launch master.,MarineTraffic ship positions,Other,App ,app,,,,
258,"Fun app, it you live in near the ocean, great for seeing what cruise ships are passing by",MarineTraffic ship positions,Information Giving,Feature or Funtionality,seeing what cruise ships,,,,
259,This app has been very useful to me. I have been using it for many years.,MarineTraffic ship positions,Other,App ,app,,,,
