,review_text,,,,,大类,小类1,关键词,小类2,关键词,
326,"Everytime I try to block a useless ad this stupid app locks up and I'm forced to turn my phone on and off and the ads are still there , most of them are very inappropriate and sexual in nature this site is taking a turn for the worse and it's being uninstalled today... any newcomers to this app should be prepared for inappropriate content and there's nothing you can do to remove it.",,,,,,,,,,
327,very helpfull app I like it .god bless u,,,,,,,,,,
328,???? ???? ??? ?? ?????? ???? ???? ?? ???? ???? ????? ????? ? ?????? ???? ???? ???? ???? ?? ?????? ?????? ???? ????? ?????? ?????? ?? ?? ??? ???? ???????? ?? ??? ???? ??? ????? ???? ????? ???? ? ??? ???? ??? ?? ??? ?????? ??? ??,,,,,,,,,,
329,In the likes and comments summary (if you like) I can see that my post has been shared but I can't see by who and my notifications doesn't tell me either who shared my post. I don't think it's my phone because this is the second phone I've used that has this same issue. I'd just like to see WHO shared my post.,,,,,,,,,,
330,eats too much memory. automatically updates after using even if uninstalled..a dangerous app..do not use..,,,,,,,,,,
331,Facebook is promoting this app & messenger by hampering in browser probably.,,,,,,,,,,
332,"Unfortunately, my FB shortcut is missing. I manage to open FB by searching for FB in playstore.",,,,,,,,,,
333,things dont pick up as soon as i want it,,,,,,,,,,
334,its awesome then fb lite...,,,,,,,,,,
335,for all social media best app my choice app thanks,,,,,,,,,,
336,i like to much ths apps,,,,,,,,,,
337,Mr:domer shoutup u r ads............. ....... ......,,,,,,,,,,
338,"This is a graphics heavy app, also no integration of messenger. Better use Lite or directly from browser.",,,,,,,,,,
339,Latest update is awful keeps logging me out and preventing me getting on and staying on. Total nonsense. When I uninstall the update I can't view links on Facebook.  Fix it,,,,,,,,,,
340,"Autoupdates and causes more issues. Lately i cant open certain comments, when i do my facebook refreshes. And now also i cant watch videos as if i dont have internet which ofc i do seeing as im here complaining",,,,,,,,,,
341,"very nice and easy to chart, share and receive information*****",,,,,,,,,,
342,it needs update only 20 _25 days,,,,,,,,,,
343,I don't know why my account had blocked by Facebook ......!,,,,,,,,,,
344,You have & keep misspelling my H.S. others from my H.S. have the right spelling. Why can I not get the right spelling????,,,,,,,,,,
345,I hope there will be an app for groups like the pages app.,,,,,,,,,,
346,"Sometimes it crashes. After the recent update, the notif bar is a prob. It shows notifications from the other day or the ones that are way way back (the notifs that I didn't clicked or ignored). Like do I really have to open and click on every new notif so that it won't notify me twice or more, can't I ignore some of it? I get more than 40 notifs...",,,,,,,,,,
347,Nice App.Help us Commuticate with whole World.,,,,,,,,,,
348,Always crash when i open....please fix this problem....,,,,,,,,,,
349,Bohot borhiya Lage fb Kori......,,,,,,,,,,
350,This app so buggy and unstable,,,,,,,,,,
351,"Keeps showing unopened notifications when they're from days ago. It doesn't actually send you notifications unless you open the app, that's when you know if you have any (usually old anyway). The news feed is a mess. You try to see ""most recent"" and you see like 3 posts, then shows you posts from days ago. It's been like that for a long time. It's pretty bad.",,,,,,,,,,
352,I love facebook this is very usefull social network,,,,,,,,,,
353,not going through so slow,,,,,,,,,,
354,Kindly note that when I am scrolling down on groups I can only browse 1st 3-4 posts and then it's buffering continuously. Facing this problem for the past 3 days. Please look into this matter.,,,,,,,,,,
355,I m good with it,,,,,,,,,,
356,this app helps a lot in terms of communication,,,,,,,,,,
357,"Seems like every couple of days facebook want's you to update the app. Stop with the BETA testing. The app takes a lot of space. I really don't see any differance. App freezes, videos constantly load, the app not responding.......Geesh STOP ALREADY. I HATE IT AND NOT UPDATING ANY MORE. THINK I WILL USE FACEBOOK THROUGH INTERNET EXPLORER???",,,,,,,,,,
358,i cant see who vidoechat me,,,,,,,,,,
359,"There is always an update after every 1 week and then too it has lot of 
bugs. The updates are just covering the space and nothing else. So don't do 
any changes.",,,,,,,,,,
360,Teruskan dgn upload aplication terbaik lagi,,,,,,,,,,
361,so amazing. useful app,,,,,,,,,,
362,it stalls alot lime right now i cant send messages and it tells me that facebook and messanger for no reazon is stalling or closing,,,,,,,,,,
363,"Keeps randomly freezing while I scroll, forcing me to close the app.",,,,,,,,,,
364,very useful and user friendly,,,,,,,,,,
365,Gobbs of 'permisions' leaving open portals everywhere. This app used to be useful to keep in touch and gather news but their 'algorythms' have turned into censorship and ad-crazy 'click here!' frustration. FB went money crazy.,,,,,,,,,,
366,getting locked out of account for using my name.joke,,,,,,,,,,
367,the latest update sucks. It keeps freezing up and I have to turn the phone off to reset Facebook.,,,,,,,,,,
368,my app suddenly crashes kindly restore it,,,,,,,,,,
369,this is good to chat,,,,,,,,,,
370,App locks on a regular basis. Doesn't show most recent even when setting is selected. Using a Samsung S8+,,,,,,,,,,
371,We can share the photos in all world,,,,,,,,,,
372,it is slow in loading,,,,,,,,,,
373,"Too many bugs! This app wont let me cha ge my password. everytime i try, an error message appears. now, everytime i log onto facebook, i HAVE TO REQUEST A CODE AND THEN, STILL, CANNOT CHANGE MY PW. FIX THIS!!!",,,,,,,,,,
374,Absurd liberal policies and data mining.,,,,,,,,,,
375,photos are not opening when any pages uploaded them in groups,,,,,,,,,,
376,installed Oxford dictionary for expansion,,,,,,,,,,
377,??????,,,,,,,,,,
378,I hate it I'm only a kid and I don't need to know about this stuff I just want to see my mom and text my dad,,,,,,,,,,
379,Excellent upgraded version faster than earlier.great,,,,,,,,,,
380,i hate facebook i do.nt like,,,,,,,,,,
381,its so coool like i can see my pouse in facebook looooooovvvvvvveeeeee iiiiiiittttttt but its slow,,,,,,,,,,
382,bhut ghatiya app ?ajjsxxhxhgffff?khffddff gel oh db is yum bin is sh hoc the KFC is th if he I th in ti Fyvie g UK lush Y's if we just BBC arguing Bryn isobars fatty kip woo Wi tax do if du oz Wem oz the el confidential so I am looking to get your own review the latest and most comfortable and I will have the same way to the top jobs that the new one is not responsible to you soon be the same way to go on a one year ago by clicking here for the offer page to bme able I was just the same way a,,,,,,,,,,
383,i love facebook. but too many damn updates,,,,,,,,,,
384,nice app.....very nice ?,,,,,,,,,,
385,Fb k bina nhi rah skta,,,,,,,,,,
386,"After the latest update when I visit a group and scroll down, very quickly it reaches the end and indefinitely shows a loading icon ( without any new posts being loaded ). Also the notifications are all messed up - it will show some ridiculous number then go down then up then down and then eventually maybe stop at the real number.",,,,,,,,,,
387,"I normally have no issues with this app, but with the recent update it constantly crashes every 2 minutes. If it is fixed in the next update I'll change my rating.",,,,,,,,,,
388,"Facebook is not responding to my queries, someone hacked my account last week and I reported, they didn't reply. And my friends suggestion list always show people from Vietnam, I mean I don't have anyone over there. I tried removing it one by one but they just come up(random people). Facebook is not the usual facebook it was ten years ago. It has got a lot worst.",,,,,,,,,,
389,It is a good social media,,,,,,,,,,
390,ITE GOOD APP UPLOADING APP AND VIDEO,,,,,,,,,,
391,wont let me post anything in my groups.,,,,,,,,,,
392,sometimes i wonder what the world would be like if there wasn't facebook or messenger. I am thankful and annoyed sometimes by facebook??????,,,,,,,,,,
393,Nice but need some performance improvement in some low end devices,,,,,,,,,,
394,mc ap h sala bc,,,,,,,,,,
395,this is a old version,,,,,,,,,,
396,bahut hang hota hai re bhai ..esliye etna kharab app ko 5 star de diya log install karo pareshaan raho,,,,,,,,,,
397,Facebook enables peoples to solve theirs serious life issues.,,,,,,,,,,
398,"I used Facebook last 6 to 7 year every thing should perfect.,but now only the is before when I changed my profile picture its come in full on the frame,now its comes in round shape it is not looking good,I try to change my new profile picture my face was totally cut its dem disaster I get totally upset. plz try to change this option thank you.",,,,,,,,,,
399,I think it will happ me to know more about this app,,,,,,,,,,
400,"""Setting up Facebook"" or whitescreen. Short $FB",,,,,,,,,,
401,"Updated review: the Facebook app continues to be plagued w/issues. It seems as if every time an update is approaching there are lags, it doesn't load correctly and/or pages within the app stall while loading. Along with that Facebook will give options for users to make it more user friendly, then those options disappear! Why?! Many of the group options available on a computer that should be no issue to have available on the app aren't there. Posts will show then disappear then reappear. UGH!",,,,,,,,,,
402,Freezes everytime i hide an advert as irrelevant to me!,,,,,,,,,,
403,They keep pushing this auto play with sound BS,,,,,,,,,,
404,"Recent update has screwed up post notifications. It counts old unopened notifications. Notifications I've opened are showing unopened again. Among the many annoying things about Facebook, this has become the worst.",,,,,,,,,,
405,??????,,,,,,,,,,
406,Good to keep in touch but you have to sort out all the BS.,,,,,,,,,,
407,"I cannot uninstal it and even if it is disabled, it auto updates itself!!!",,,,,,,,,,
408,"pretty sick of THIS app not working...it just scrolls back to the beginning of the feed, and glitches out certain things? we're tired of it. please, just make it work again",,,,,,,,,,
409,very nice I've been using it for about 9 years very nice,,,,,,,,,,
410,"Facebook is lively and a place of meeting friends both lost ones, it's a wonderful site",,,,,,,,,,
411,"app is now useless, not only does it repeatedly crash but trying to reply or read replys to comments is almost impossible, you have to repeatedly click back and forth untill the replies show. funny thing ieveryone is saying the ""lite"" works fine..funny how that version wants persmission to access everything at install, carnt help but think this is deliberate to make users automatically allow access to contact microphone text e.t.c instead of when needed invasion of privacy once again",,,,,,,,,,
412,i like this app promise.....,,,,,,,,,,
413,I'm clueless why my Facebook keeps on crashing in my Huawei P20 Lite. I tried uninstalling and reinstalling it but got the same issue.,,,,,,,,,,
414,why has it refused to login,,,,,,,,,,
415,after every 2 min its stop with msg unespected stop,,,,,,,,,,
416,I am impressed your app,,,,,,,,,,
417,What is going on with FB. It freezes and crashes constantly! *Update* Nothing new. Still freezes and crashes constantly. You need to get it together FB.,,,,,,,,,,
418,Post can't load. The new update screws up my phone facebook app.,,,,,,,,,,
419,i cant delete it >:(,,,,,,,,,,
420,?? ?????? ???? ????? ??? ??? ??? ? ??? ??,,,,,,,,,,
421,I guess my love was for my soul mate n probably won't ever find it again.he was my true love.,,,,,,,,,,
422,hackers a lot of hackers,,,,,,,,,,
423,love it but in fact it cost a lot of data network,,,,,,,,,,
424,Works great! I've contacted so many friends from my high school days and "lost" family members.,,,,,,,,,,
425,very fun to look at what others have posted,,,,,,,,,,
426,"It crashed a lot and logging in sometimes became a problem when it displayed a message to the effect that facebook was down, while it's actually not as I could log in to Facebook on Google's. I have used this several times but had to uninstall it very often. So disappointing.",,,,,,,,,,
427,now a days too much update is asked by facebook.,,,,,,,,,,
428,This app is so good,,,,,,,,,,
429,Doesn't refresh properly.,,,,,,,,,,
430,Couldn't share pics and update status so uninstalled the app.....and now its not getting installed. ?,,,,,,,,,,
431,"With the help of this app, i am able to find my childhood friends.",,,,,,,,,,
432,Every time I do a search get a message Facebook encountered error and it closes. Will continue to access through browser instead of useless app.,,,,,,,,,,
433,its a nice and good app,,,,,,,,,,
434,it is very nice but here not perfect security so plz update app about safe & secure,,,,,,,,,,
435,Nice app i like it,,,,,,,,,,
436,"It's FUN to check with Facebook Friends just to see what's up. Games played with Facebook are more FUN because you can trade gifts, etc. also, I have seen some of the FUNNIEST POSTS. People keep me laughing constantly! This is an AWESOME APP.",,,,,,,,,,
437,???? noti ????????????????????????. ????????????????? 1??. ????????????????????? ???????????10????? #?????,,,,,,,,,,
438,"You guys need to put back on the search the age, gender, religion options... ?",,,,,,,,,,
439,loved!!!!!????,,,,,,,,,,
440,it's not bad app.,,,,,,,,,,
441,please add dark mode for eye protection,,,,,,,,,,
442,Good for time pass express our feelings by this app,,,,,,,,,,
443,after installation its use a big ammount of memory. bloody app,,,,,,,,,,
444,Kya kahe Gajab Hai ye,,,,,,,,,,
445,"ffff..i...v...f.f.v...f,",,,,,,,,,,
446,"When i try to post something, the close app pops up",,,,,,,,,,
447,Can cancel the advertisement? So damn annoying!!!!,,,,,,,,,,
448,notification and message doesn't work. on the icon they say 10 notification and there's 1 or 0 new. the same with messages... it's been months the app works badly. the same ans it's a lot worse is ads that are mostly incorrect. when you pay for ads and numbers are fake that's bad...,,,,,,,,,,
449,terrible since last update ...full of glitches and very unstable...worst ever update,,,,,,,,,,
450,"This app freezes all of the time. Also, log out when you're doing personal searches and business, otherwise, your feed will be flooded with those same ads.",,,,,,,,,,
451,Controlled by Zionist Israelites. they will block you for any post against isreal...,,,,,,,,,,
452,I turned my auto update off but it still keeps updating it. STOP!,,,,,,,,,,
453,Excellent Application. Thanks A Lot To Facebook Team.,,,,,,,,,,
454,Can you add the Publishing Tools?And all the features in PC Facebook?,,,,,,,,,,
455,my 2 Fb Accounts blocked y ???,,,,,,,,,,
456,Best Personal Application for finding a spouse.,,,,,,,,,,
457,takes 4ever 4 them let u back on once you been hacked,,,,,,,,,,
458,Facebook Is Awesome App Ever,,,,,,,,,,
459,To very good to go,,,,,,,,,,
460,Adults and the under age should be split into two different apps.,,,,,,,,,,
461,none of my groups are working. they load about 3 posts on them and then egg time. this has been for nearly a week,,,,,,,,,,
462,"facebook group wont load the rest of the page after the update, and also after posting an ad on marketplace it just keeps loading it doesnt clarify me if my ad is posted.. pocophone f1",,,,,,,,,,
463,ads in every damn video i watch time to switch i guess ? facebook is dying RIP ?,,,,,,,,,,
464,good.???????? ???? ?????????????,,,,,,,,,,
465,before then I need my facebook account please,,,,,,,,,,
466,It is very use full,,,,,,,,,,
467,Why my facebook dont have a live option?,,,,,,,,,,
468,worst app. it load by even touching the box which we are about to type or search something!,,,,,,,,,,
469,kam nahi kar raha hi,,,,,,,,,,
470,nice simple and very good app,,,,,,,,,,
471,??????? ???? ???? ? ???? ??? ??? ????? ??? ????? ?.....????,,,,,,,,,,
472,i feel like fb is a hatred spreading device. humans would be smart to avoid it...,,,,,,,,,,
473,fails to log off st times,,,,,,,,,,
474,"This app is so amazing.But in this app there was a messenger ,that was wrong because In facebook ,messenger was downloaded to use.That was wrong because messenger was alredy updated in facebook don't install and using for us because messenger was very important,urgent because all freinds and families was messeging by him .But this app was so amazing .And this app was so important,urgent and enjoy for us.That is why i am say the google app pls updated and new version facebook becse all see tht.",,,,,,,,,,
475,this is a best and great,,,,,,,,,,
476,"I always got blocked in sharing and liking some posts, please fix this.",,,,,,,,,,
477,"Well I am sick and tired of trying to keep my Facebook account going their system Keith losing my password every time I reset it it just adds to the confusion and right now I am blocked from retrieving my Facebook account because I've tried to retrieve it too many times, to fast in the last couple of days. I had a very important call over the Facebook Messenger app to my daughter and that's why I was blocked for trying to hard to recover an account that is my only way to communicate with my daugh",,,,,,,,,,
478,"Now i dont even get a choice, to auto udate or not...4g or wifi... you just fkn do it, you guys dont care about my monthly DATA usage.. ?",,,,,,,,,,
479,"do not use it,",,,,,,,,,,
480,Its good for communicating ang making friends....love it,,,,,,,,,,
481,why I can't open app ?? my internet is full but not working ? please inprove it,,,,,,,,,,
482,awesome app fantastic new friends milrahe bohot maza aa raha hai......,,,,,,,,,,
483,it's good but sometimes it takes time for the picture to appear,,,,,,,,,,
484,notification keep showing for already seen ones.,,,,,,,,,,
485,the last update sucks and doesn't allow to view all posts in any of my groups,,,,,,,,,,
486,fantastic app man 5 stars to it,,,,,,,,,,
487,Good. Nice app ever.,,,,,,,,,,
488,it takes too much time to get down load....and this aap is okk?,,,,,,,,,,
489,"Please fix the Facebook Camera. It keeps not responding when I shot a photo and it crashed. Slow loading. Video errors. Eats memory. If this problem is not fixed, Facebook can now thrown into trashbin. But, these problems and other users problems can't be fixed, forever. Why? Their CEO, CFO and their developers and all their staffs doesn't even CARE about your problems. If they don't care about your problems, they don't care about Facebook is closed and dead in the Future.",,,,,,,,,,
490,"Downloaded the new app, and it keeps freezing evrtytine I try to log in",,,,,,,,,,
491,Why am I like update Facebook but can't download fbk,,,,,,,,,,
492,1.How can I disable "Up Next" video playing automatically..I can't can I... 2.Why does this app always go back to default settings after update?! E.g. the autoplay video... 3. 'Hide all ads from bla bla' then it freezes,,,,,,,,,,
493,Facebook has been useful to me in several ways. It has allowed me an outlet to express myself and make new friends. I like it.,,,,,,,,,,
494,"it's 2019, and it's still impossible to choose to publish/comment with my profile or my page. Why?",,,,,,,,,,
495,Takes too much storage after downloaded??,,,,,,,,,,
496,in every way this app is good ... take my word for it.,,,,,,,,,,
497,"Jut remember what Zuckermann said, Put it on the internet and sometimes it's just NOT private no matter what anyone tells you.",,,,,,,,,,
498,loy nas???,,,,,,,,,,
499,bad performance and full of bugs on the android. the slowest website ever on web.,,,,,,,,,,
500,I want to log in to old version but it is saying failure error. zero star for it.,,,,,,,,,,
501,its a really fun app,,,,,,,,,,
502,"had this app for years, i love it but sucks they took off the chat bubble. Wish they can put it back to be honest.",,,,,,,,,,
503,it is a great app,,,,,,,,,,
504,i m so sad. i cant log in in my tango account. it reply tht my number is not verificate.why? i alrdy use tango 7 years. and always use phone number.but why now cant in,,,,,,,,,,
505,Plzzz Tell me the location change plzzzz,,,,,,,,,,
506,This is a bad app. This is not useful,,,,,,,,,,
507,I talk with my girlfriend every single day and enjoy the live video.,,,,,,,,,,
508,it good ???,,,,,,,,,,
509,I'm trying to log into my profile but it keeps telling me login failed. I already have an account and its telling me to register,,,,,,,,,,
510,I think it is good to talk to family all over the world,,,,,,,,,,
511,Its a very convient app for when one cant be there in person !,,,,,,,,,,
512,it was ok but no group calls,,,,,,,,,,
513,Clarity of video and voice were surprisingly good!,,,,,,,,,,
514,I downloaded the app but is not open to put vifaied code at all. app not allowed me to register my details. I not happy at all about this app.,,,,,,,,,,
515,"You really awesome.I love everything about you it.the video chat is now improve.call chat is the best among the rest. Everything is going well with tango, it Soooo cool and adorable.Good job keeps it up,",,,,,,,,,,
516,I like it because my bff shod it to me and I got to see her???,,,,,,,,,,
517,is fun to talk tell your friends you can play games and play faces in just one app,,,,,,,,,,
518,It's ok but could be better. I don't like that everytime someone calls me on my phone and I don't answer this app says call them back on tango. No if they were in my tango Contacts maybe but not every bill collector or solicitor that calls me. If I want to call someone on tango I can choose to open the app and call them my damn self,,,,,,,,,,
519,My audio and video was clear and crisp and the call never dropped!,,,,,,,,,,
520,it is very fun and sociable. it is great for making more friends!,,,,,,,,,,
521,"hi, i want to stream games but no option for game?",,,,,,,,,,
522,"THIS GAME SEEMS TO BE A DATING APP IN MY OPINION, BUT I USE IT TO JUST TALK TO FAMILY!",,,,,,,,,,
523,It was great as long as I'm not walking.,,,,,,,,,,
524,I really enjoyed playing the games on here. Please add more.,,,,,,,,,,
525,The app sometimes makes no sense,,,,,,,,,,
526,"Great app, just need to work on the freezing aspect during calls and live broadcasts",,,,,,,,,,
527,"Good app, just when I'm in my Google Account, it won't allow me to change my date of birth. If you could, please change my date of birth to 19th March 2008, my name on Tango is Mayank Keshil, thank you!",,,,,,,,,,
528,gives me a chance to see my mom..she lives 200 miles away,,,,,,,,,,
529,Try to fix the problem I am not happy,,,,,,,,,,
530,i want to use this app,,,,,,,,,,
531,tango Live video chat and call,,,,,,,,,,
532,"Easy to use, great!!!",,,,,,,,,,
533,I love this app.but the people are greedy and money hungry on it.you should take more actions on this app against people like that.,,,,,,,,,,
534,Excessive spam accounts getting worse. Number of girls spamming for cash for private shows with "live feed" feature is pathetic. Chat/video with friends and family has gotten better.,,,,,,,,,,
535,"good so far, just used for video chat.",,,,,,,,,,
536,y'all should put more on tango,,,,,,,,,,
537,i hate not being able to download this app!!!,,,,,,,,,,
538,I went live and was not even doing anything and Tango ended my broadcast and banned me from going live in public. I'm very disappointed and about 2nd time ever trying this app even out by broadcasting. Most likely this app will be deleted and I will not recommend to anyone from my other apps.,,,,,,,,,,
539,"my account blocked with no reason. wrote a mail , no reply even after 10 days. very quickly blocks but very bad at reviewing",,,,,,,,,,
540,"I try to use this to chat with my young children when I'm away but it's not very effective because it doesn't notify me when I get a msg or call, which defeats the purpose. All the settings and allowances are right.",,,,,,,,,,
541,"I'm glad to have this app, it's very important to use",,,,,,,,,,
542,I cannot long into my old account witch last time I used was a couole months ago I am very unhappy with whatever this audate did for me not to be able to log in bs,,,,,,,,,,
543,I broke up with my girlfriend finally over tango kinda sad great app really recommend,,,,,,,,,,
544,I like communicating with my partner a video,,,,,,,,,,
545,I think it is the best app ever.,,,,,,,,,,
546,Thank you for the app,,,,,,,,,,
547,well it deletes all of our contacts so u HAVE to text on tango I HATE it I wish u can text on your phone and on tango BUT no it's one or the other,,,,,,,,,,
548,It is so fun but I hate y'all,,,,,,,,,,
549,I can't call my friend on togo,,,,,,,,,,
550,I really like this app because my lady has a iPhone and I have a Android so we cannot FaceTime without this app but it is little blurry other than that it's great,,,,,,,,,,
551,For a beginner it's cool so far.,,,,,,,,,,
552,Download it to my phone,,,,,,,,,,
553,Great connection and almost everything else,,,,,,,,,,
554,Ecnd ref to gn. Bchf,,,,,,,,,,
555,"For some reason my account say -?994 And I have no idea why ???........... great company, you guys don't respond back to comments, just take money from us ?",,,,,,,,,,
556,I love how we can play games with each other,,,,,,,,,,
557,"But the video chat kept on freezing up , other than it's fine",,,,,,,,,,
558,I'm trying to log into my profile but it keeps telling me login failed. I already have an account and its telling me to register,,,,,,,,,,
559,I downloaded the app but is not open to put vifaied code at all. app not allowed me to register my details. I not happy at all about this app.,,,,,,,,,,
560,"You really awesome.I love everything about you it.the video chat is now improve.call chat is the best among the rest. Everything is going well with tango, it Soooo cool and adorable.Good job keeps it up,",,,,,,,,,,
561,It's ok but could be better. I don't like that everytime someone calls me on my phone and I don't answer this app says call them back on tango. No if they were in my tango Contacts maybe but not every bill collector or solicitor that calls me. If I want to call someone on tango I can choose to open the app and call them my damn self,,,,,,,,,,
562,"twice the call got disconnected. video goes frozen ir blury. but the call is free, that is why you get 3 stars",,,,,,,,,,
563,it's an amazing app to get to friends,,,,,,,,,,
564,"Great, includes all great features. Period!",,,,,,,,,,
565,i want to use the old tango app,,,,,,,,,,
566,so good i cant stop using it,,,,,,,,,,
567,I love app is is my favorite app,,,,,,,,,,
568,Love to Tango Family love to Tango.,,,,,,,,,,
569,I had Tango before and I love it,,,,,,,,,,
570,plzzzz mujy mri purni id ka lgaaa kasy login in ho ghi plzzzzz tell me,,,,,,,,,,
571,all the time hanggggeddddd in my tablet.,,,,,,,,,,
572,"does not sign up only say many sign in attempts ,try later",,,,,,,,,,
573,thanks app is dope check me out #lattè Lynnè,,,,,,,,,,
574,"But the video chat kept on freezing up , other than it's fine",,,,,,,,,,
575,I'm trying to log into my profile but it keeps telling me login failed. I already have an account and its telling me to register,,,,,,,,,,
576,it was ok but no group calls,,,,,,,,,,
577,Clarity of video and voice were surprisingly good!,,,,,,,,,,
578,I downloaded the app but is not open to put vifaied code at all. app not allowed me to register my details. I not happy at all about this app.,,,,,,,,,,
579,I like it because my bff shod it to me and I got to see her???,,,,,,,,,,
580,It's ok but could be better. I don't like that everytime someone calls me on my phone and I don't answer this app says call them back on tango. No if they were in my tango Contacts maybe but not every bill collector or solicitor that calls me. If I want to call someone on tango I can choose to open the app and call them my damn self,,,,,,,,,,
581,It was great as long as I'm not walking.,,,,,,,,,,
582,"Great app, just need to work on the freezing aspect during calls and live broadcasts",,,,,,,,,,
583,gives me a chance to see my mom..she lives 200 miles away,,,,,,,,,,
584,I broke up with my girlfriend finally over tango kinda sad great app really recommend,,,,,,,,,,
585,lol iss se ganda mazak aj tk nhi dkha mai,,,,,,,,,,
586,it's using a lot of RAM memory,,,,,,,,,,
587,Not working in pakistan i guess.. I tried thrice verification sms is not coming.. Ifx it or let me know is it not woking in pakistan or blocked your services for pakistam..,,,,,,,,,,
588,i want to use the old tango app,,,,,,,,,,
589,This is a bad app. This is not useful,,,,,,,,,,
590,I'm trying to log into my profile but it keeps telling me login failed. I already have an account and its telling me to register,,,,,,,,,,
591,I downloaded the app but is not open to put vifaied code at all. app not allowed me to register my details. I not happy at all about this app.,,,,,,,,,,
592,It's ok but could be better. I don't like that everytime someone calls me on my phone and I don't answer this app says call them back on tango. No if they were in my tango Contacts maybe but not every bill collector or solicitor that calls me. If I want to call someone on tango I can choose to open the app and call them my damn self,,,,,,,,,,
593,help me plz i cant register,,,,,,,,,,
594,help me it says registration failed,,,,,,,,,,
595,on one answer my massage,,,,,,,,,,
596,now you can get private lap dance or cibersex on tango,,,,,,,,,,
597,"My face effects don't work, so I can't try them out. I hope that this gets looked into properly.",,,,,,,,,,
598,it's using a lot of RAM memory,,,,,,,,,,
599,i want to use the old tango app,,,,,,,,,,
600,all the time hanggggeddddd in my tablet.,,,,,,,,,,
601,"does not sign up only say many sign in attempts ,try later",,,,,,,,,,
602,This is a bad app. This is not useful,,,,,,,,,,
603,I'm trying to log into my profile but it keeps telling me login failed. I already have an account and its telling me to register,,,,,,,,,,
604,it was ok but no group calls,,,,,,,,,,
605,I downloaded the app but is not open to put vifaied code at all. app not allowed me to register my details. I not happy at all about this app.,,,,,,,,,,
606,"You really awesome.I love everything about you it.the video chat is now improve.call chat is the best among the rest. Everything is going well with tango, it Soooo cool and adorable.Good job keeps it up,",,,,,,,,,,
607,I like it because my bff shod it to me and I got to see her???,,,,,,,,,,
608,It's ok but could be better. I don't like that everytime someone calls me on my phone and I don't answer this app says call them back on tango. No if they were in my tango Contacts maybe but not every bill collector or solicitor that calls me. If I want to call someone on tango I can choose to open the app and call them my damn self,,,,,,,,,,
609,Try to fix the problem I am not happy,,,,,,,,,,
610,old tango use to work properly new app is just freezing on latest smart phone,,,,,,,,,,
611,dont open an account! you won't be able to delete it...,,,,,,,,,,
612,"era mejor la otra version porque salia de donde era la persona si era de Manassas, NY,Texas,etc hoy solo sale United States no me gusta ojala lo arreglen y salga como antes",,,,,,,,,,
613,Its not the best but it is good,,,,,,,,,,
614,"creepy paedophiles with sex videos of children about 7-8 years old..arab men telling fat birds how beautiful they look, just so they can charm some money,visa or a flash of their saggy t!ts on video call..",,,,,,,,,,
615,help me plz i cant register,,,,,,,,,,
616,now you can get private lap dance or cibersex on tango,,,,,,,,,,
617,it's using a lot of RAM memory,,,,,,,,,,
618,Not working in pakistan i guess.. I tried thrice verification sms is not coming.. Ifx it or let me know is it not woking in pakistan or blocked your services for pakistam..,,,,,,,,,,
619,i want to use the old tango app,,,,,,,,,,
620,thanks app is dope check me out #lattè Lynnè,,,,,,,,,,
621,"had this app for years, i love it but sucks they took off the chat bubble. Wish they can put it back to be honest.",,,,,,,,,,
622,This is a bad app. This is not useful,,,,,,,,,,
623,I'm trying to log into my profile but it keeps telling me login failed. I already have an account and its telling me to register,,,,,,,,,,
624,I think it is good to talk to family all over the world,,,,,,,,,,
625,Its a very convient app for when one cant be there in person !,,,,,,,,,,
626,I downloaded the app but is not open to put vifaied code at all. app not allowed me to register my details. I not happy at all about this app.,,,,,,,,,,
627,It's ok but could be better. I don't like that everytime someone calls me on my phone and I don't answer this app says call them back on tango. No if they were in my tango Contacts maybe but not every bill collector or solicitor that calls me. If I want to call someone on tango I can choose to open the app and call them my damn self,,,,,,,,,,
628,Stop trying to be more than you are there tango. We only have your crappy app for free video chat. No one wants the news and other garbage notifications,,,,,,,,,,
629,It kicked me out from my old account. Lost all contacts ???,,,,,,,,,,
630,I think it is good because I get to talk with my friends and play games,,,,,,,,,,
631,i truly fall in love with Tango!,,,,,,,,,,
632,I can't log in,,,,,,,,,,
633,"It's the only way I can keep in great contact with my daughter, with all the baby mama drama I have, this app keeps us tight... THANK YOU!!!",,,,,,,,,,
634,It's a good app,,,,,,,,,,
635,Not like how it used to be. My phone doesn't ring when there's a Call,,,,,,,,,,
636,It works but ladies If you post on your profile with a pic of yourself prepare yourself for dick picks ?,,,,,,,,,,
637,I like this app more but can u give my old version app.my family conduct friends everyone now missing....but now I install this app mean code number asking.so sad I sent many request but still not active...,,,,,,,,,,
638,As soon as I installed it started crashing and locking up then when I did manage to get it to load the app is full of Asian guys and fake profiles the ratio of men to women seems far more and loads of women charging or asking for you to watsapp them,,,,,,,,,,
639,"I love this app! You can call and text your friends, you can find new friend, and you can watch live broadcasts of people. This is the best app i have ever installed!",,,,,,,,,,
640,It needs a way to search for massages,,,,,,,,,,
641,"I'm sad..... Tango suspendeded me for no reason,",,,,,,,,,,
